job,education,contact,poutcome,age_group,duration,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,y
blue-collar,high.school,cellular,nonexistent,mid-career(31-45y),7.266666666666667,1,0,0,-0.1,93.2,-42.0,no
technician,university.degree,cellular,nonexistent,mid-career(31-45y),8.4,2,0,0,-1.8,93.075,-47.1,yes
retired,basic.4y,cellular,nonexistent,retirees(65+),1.6,6,0,0,-1.8,92.843,-50.0,no
services,high.school,cellular,nonexistent,youth segment(17-30y),9.316666666666666,4,0,0,1.4,93.918,-42.7,no
blue-collar,basic.4y,cellular,nonexistent,mid-career(31-45y),5.75,1,0,0,-1.8,92.893,-46.2,yes
admin.,university.degree,cellular,nonexistent,youth segment(17-30y),2.783333333333333,1,0,0,-1.8,92.893,-46.2,no
services,professional.course,telephone,nonexistent,youth segment(17-30y),3.3666666666666667,1,0,0,1.4,94.465,-41.8,no
blue-collar,basic.9y,cellular,nonexistent,mid-career(31-45y),7.3,2,0,0,-1.8,92.893,-46.2,no
services,basic.6y,telephone,nonexistent,youth segment(17-30y),3.1,1,0,0,1.1,93.994,-36.4,no
technician,professional.course,cellular,nonexistent,mid-career(31-45y),0.8833333333333333,3,0,0,-1.8,92.893,-46.2,no
management,university.degree,telephone,nonexistent,mid-career(31-45y),10.45,1,0,0,1.1,93.994,-36.4,no
admin.,high.school,cellular,nonexistent,youth segment(17-30y),1.2833333333333334,2,0,0,-1.8,92.843,-50.0,no
retired,basic.9y,cellular,nonexistent,pre-retirement(46-64y),4.316666666666666,1,0,0,-0.1,93.2,-42.0,no
services,high.school,cellular,nonexistent,pre-retirement(46-64y),1.5,1,0,0,-0.1,93.2,-42.0,no
services,basic.9y,telephone,nonexistent,mid-career(31-45y),14.766666666666667,2,0,0,1.4,94.465,-41.8,no
admin.,high.school,cellular,nonexistent,youth segment(17-30y),8.116666666666667,3,0,0,1.4,93.918,-42.7,no
blue-collar,basic.4y,telephone,nonexistent,mid-career(31-45y),6.516666666666667,3,0,0,1.1,93.994,-36.4,no
blue-collar,basic.9y,telephone,nonexistent,youth segment(17-30y),2.933333333333333,4,0,0,1.4,94.465,-41.8,no
blue-collar,high.school,telephone,nonexistent,mid-career(31-45y),2.7333333333333334,3,0,0,1.4,94.465,-41.8,no
services,professional.course,cellular,nonexistent,pre-retirement(46-64y),3.0833333333333335,10,0,0,1.4,93.918,-42.7,no
technician,professional.course,cellular,nonexistent,mid-career(31-45y),2.6333333333333333,1,0,0,1.4,93.444,-36.1,no
blue-collar,,telephone,nonexistent,mid-career(31-45y),1.0833333333333333,10,0,0,1.4,94.465,-41.8,no
retired,basic.4y,cellular,success,retirees(65+),5.683333333333334,2,13,1,-1.7,94.027,-38.3,yes
self-employed,university.degree,telephone,nonexistent,youth segment(17-30y),6.216666666666667,3,0,0,1.1,93.994,-36.4,no
technician,professional.course,cellular,nonexistent,mid-career(31-45y),3.066666666666667,1,0,0,1.4,93.444,-36.1,no
admin.,university.degree,cellular,failure,mid-career(31-45y),3.433333333333333,1,0,1,-2.9,92.963,-40.8,no
student,high.school,telephone,nonexistent,youth segment(17-30y),6.75,1,0,0,-1.8,93.075,-47.1,yes
management,university.degree,cellular,nonexistent,mid-career(31-45y),8.916666666666666,1,0,0,1.4,93.444,-36.1,no
blue-collar,basic.4y,cellular,nonexistent,mid-career(31-45y),10.2,1,0,0,-1.8,92.893,-46.2,no
services,high.school,cellular,failure,mid-career(31-45y),7.1,2,0,1,-0.1,93.2,-42.0,no
blue-collar,basic.9y,telephone,nonexistent,mid-career(31-45y),1.2333333333333334,1,0,0,1.1,93.994,-36.4,no
management,university.degree,cellular,nonexistent,mid-career(31-45y),3.85,2,0,0,1.4,93.444,-36.1,no
housemaid,high.school,cellular,nonexistent,mid-career(31-45y),2.0833333333333335,3,0,0,1.4,93.918,-42.7,no
unemployed,high.school,cellular,nonexistent,youth segment(17-30y),2.0833333333333335,2,0,0,-2.9,92.963,-40.8,no
technician,professional.course,cellular,nonexistent,mid-career(31-45y),6.75,1,0,0,-1.8,93.075,-47.1,no
technician,professional.course,cellular,nonexistent,pre-retirement(46-64y),1.45,2,0,0,-1.8,92.893,-46.2,no
blue-collar,basic.9y,cellular,nonexistent,mid-career(31-45y),3.7333333333333334,7,0,0,-1.8,92.893,-46.2,no
technician,basic.4y,cellular,nonexistent,pre-retirement(46-64y),6.033333333333333,1,0,0,-0.1,93.2,-42.0,no
blue-collar,basic.6y,cellular,nonexistent,mid-career(31-45y),2.6,3,0,0,-1.8,92.893,-46.2,no
admin.,university.degree,cellular,nonexistent,mid-career(31-45y),4.5,1,0,0,1.4,93.444,-36.1,no
management,university.degree,cellular,nonexistent,mid-career(31-45y),1.1333333333333333,1,0,0,-1.8,92.893,-46.2,no
blue-collar,basic.9y,cellular,nonexistent,mid-career(31-45y),1.7,1,0,0,1.4,93.444,-36.1,no
blue-collar,,telephone,nonexistent,mid-career(31-45y),4.433333333333334,1,0,0,1.1,93.994,-36.4,no
technician,professional.course,telephone,nonexistent,mid-career(31-45y),14.166666666666666,6,0,0,1.1,93.994,-36.4,no
admin.,high.school,telephone,nonexistent,mid-career(31-45y),2.3833333333333333,3,0,0,1.1,93.994,-36.4,no
student,university.degree,telephone,nonexistent,mid-career(31-45y),2.966666666666667,4,0,0,1.4,94.465,-41.8,no
retired,,cellular,nonexistent,retirees(65+),5.3,1,0,0,-1.8,92.893,-46.2,no
retired,basic.4y,telephone,nonexistent,pre-retirement(46-64y),2.3,1,0,0,1.1,93.994,-36.4,no
blue-collar,basic.9y,cellular,failure,mid-career(31-45y),3.0,2,0,1,-0.1,93.2,-42.0,no
admin.,,telephone,nonexistent,youth segment(17-30y),10.716666666666667,4,0,0,-3.4,92.649,-30.1,no
self-employed,university.degree,cellular,nonexistent,youth segment(17-30y),51.266666666666666,1,0,0,-1.8,92.843,-50.0,yes
blue-collar,basic.9y,cellular,nonexistent,pre-retirement(46-64y),4.016666666666667,1,0,0,1.4,93.444,-36.1,no
admin.,university.degree,telephone,success,mid-career(31-45y),1.9833333333333334,1,6,1,-0.1,93.2,-42.0,no
technician,professional.course,cellular,nonexistent,pre-retirement(46-64y),5.8,2,0,0,-0.1,93.2,-42.0,no
retired,university.degree,telephone,nonexistent,pre-retirement(46-64y),12.8,1,0,0,1.1,93.994,-36.4,no
management,university.degree,cellular,nonexistent,pre-retirement(46-64y),7.633333333333334,2,0,0,-1.8,92.893,-46.2,no
self-employed,basic.4y,cellular,nonexistent,mid-career(31-45y),4.383333333333334,7,0,0,1.4,93.444,-36.1,no
admin.,university.degree,cellular,nonexistent,mid-career(31-45y),1.15,3,0,0,1.4,93.444,-36.1,no
retired,basic.4y,cellular,nonexistent,pre-retirement(46-64y),1.35,1,0,0,1.4,93.918,-42.7,no
technician,university.degree,telephone,failure,youth segment(17-30y),4.383333333333334,1,0,2,-1.7,94.055,-39.8,yes
services,high.school,cellular,nonexistent,youth segment(17-30y),4.566666666666666,1,0,0,-1.8,92.893,-46.2,no
admin.,university.degree,cellular,nonexistent,mid-career(31-45y),13.333333333333334,5,0,0,-1.8,92.893,-46.2,no
technician,university.degree,telephone,nonexistent,youth segment(17-30y),19.116666666666667,2,0,0,1.1,93.994,-36.4,no
technician,professional.course,cellular,success,mid-career(31-45y),1.3666666666666667,5,5,1,-0.1,93.2,-42.0,no
admin.,university.degree,cellular,nonexistent,mid-career(31-45y),1.6166666666666667,3,0,0,1.4,93.444,-36.1,no
blue-collar,basic.4y,telephone,nonexistent,mid-career(31-45y),1.4333333333333333,3,0,0,1.4,94.465,-41.8,no
technician,university.degree,telephone,nonexistent,mid-career(31-45y),6.866666666666666,1,0,0,1.1,93.994,-36.4,yes
technician,professional.course,telephone,nonexistent,pre-retirement(46-64y),8.05,5,0,0,-1.8,93.876,-40.0,yes
admin.,university.degree,cellular,nonexistent,mid-career(31-45y),8.5,3,0,0,-2.9,92.963,-40.8,yes
services,professional.course,telephone,nonexistent,mid-career(31-45y),1.7833333333333334,1,0,0,1.1,93.994,-36.4,no
admin.,high.school,telephone,nonexistent,pre-retirement(46-64y),4.283333333333333,1,0,0,1.1,93.994,-36.4,no
blue-collar,high.school,cellular,nonexistent,youth segment(17-30y),3.2333333333333334,3,0,0,-1.7,94.215,-40.3,no
retired,basic.4y,telephone,nonexistent,retirees(65+),2.3,4,0,0,-1.1,94.601,-49.5,no
technician,professional.course,cellular,failure,mid-career(31-45y),3.566666666666667,3,0,1,-1.8,92.893,-46.2,no
technician,professional.course,cellular,nonexistent,mid-career(31-45y),1.4,2,0,0,1.4,93.444,-36.1,no
admin.,high.school,cellular,nonexistent,mid-career(31-45y),6.45,10,0,0,-1.8,92.893,-46.2,no
blue-collar,basic.6y,telephone,nonexistent,mid-career(31-45y),1.8,4,0,0,1.4,94.465,-41.8,no
technician,professional.course,cellular,failure,pre-retirement(46-64y),1.4833333333333334,1,0,1,-0.1,93.2,-42.0,no
entrepreneur,basic.4y,telephone,nonexistent,pre-retirement(46-64y),5.8,1,0,0,1.1,93.994,-36.4,no
admin.,high.school,cellular,nonexistent,youth segment(17-30y),3.216666666666667,2,0,0,-0.1,93.2,-42.0,no
technician,high.school,telephone,nonexistent,pre-retirement(46-64y),6.966666666666667,2,0,0,1.1,93.994,-36.4,no
services,high.school,cellular,nonexistent,pre-retirement(46-64y),7.266666666666667,1,0,0,-1.8,93.075,-47.1,no
blue-collar,basic.4y,cellular,nonexistent,pre-retirement(46-64y),1.3333333333333333,1,0,0,1.4,93.444,-36.1,no
admin.,high.school,cellular,nonexistent,youth segment(17-30y),8.366666666666667,3,0,0,1.4,93.918,-42.7,no
technician,basic.4y,cellular,nonexistent,pre-retirement(46-64y),2.3,6,0,0,1.4,93.918,-42.7,no
management,basic.6y,telephone,nonexistent,mid-career(31-45y),2.7666666666666666,3,0,0,1.4,94.465,-41.8,no
student,university.degree,telephone,nonexistent,youth segment(17-30y),1.6333333333333333,1,0,0,-1.8,93.075,-47.1,no
technician,professional.course,cellular,success,mid-career(31-45y),2.0,1,6,3,-1.1,94.199,-37.5,no
self-employed,university.degree,telephone,nonexistent,youth segment(17-30y),3.5833333333333335,3,0,0,1.4,93.918,-42.7,no
admin.,university.degree,telephone,nonexistent,mid-career(31-45y),1.5166666666666666,1,0,0,1.4,93.444,-36.1,no
admin.,university.degree,cellular,nonexistent,pre-retirement(46-64y),2.6666666666666665,1,0,0,-1.8,93.075,-47.1,yes
management,basic.9y,cellular,nonexistent,pre-retirement(46-64y),2.816666666666667,1,0,0,-0.1,93.2,-42.0,no
admin.,university.degree,telephone,nonexistent,youth segment(17-30y),4.033333333333333,3,0,0,1.1,93.994,-36.4,no
blue-collar,,telephone,nonexistent,pre-retirement(46-64y),1.1166666666666667,2,0,0,1.1,93.994,-36.4,no
management,university.degree,cellular,nonexistent,youth segment(17-30y),4.083333333333333,1,0,0,-1.8,92.893,-46.2,no
admin.,high.school,telephone,nonexistent,mid-career(31-45y),3.183333333333333,3,0,0,1.4,94.465,-41.8,no
admin.,high.school,telephone,nonexistent,mid-career(31-45y),2.933333333333333,2,0,0,1.1,93.994,-36.4,no
blue-collar,basic.4y,cellular,nonexistent,mid-career(31-45y),5.166666666666667,1,0,0,1.4,93.444,-36.1,no
technician,high.school,cellular,nonexistent,pre-retirement(46-64y),1.9,2,0,0,1.4,93.444,-36.1,no
technician,university.degree,cellular,nonexistent,mid-career(31-45y),8.766666666666667,1,0,0,-0.1,93.2,-42.0,no
blue-collar,basic.6y,telephone,nonexistent,mid-career(31-45y),6.65,3,0,0,1.1,93.994,-36.4,no
entrepreneur,university.degree,cellular,success,mid-career(31-45y),4.25,1,3,1,-1.1,94.199,-37.5,yes
admin.,high.school,telephone,success,pre-retirement(46-64y),5.283333333333333,2,10,3,-1.1,94.601,-49.5,no
admin.,high.school,cellular,nonexistent,mid-career(31-45y),2.183333333333333,2,0,0,-3.4,92.649,-30.1,no
management,university.degree,cellular,failure,pre-retirement(46-64y),4.0,1,0,1,-1.8,93.075,-47.1,yes
admin.,university.degree,cellular,nonexistent,youth segment(17-30y),0.21666666666666667,10,0,0,1.4,93.918,-42.7,no
technician,professional.course,cellular,nonexistent,pre-retirement(46-64y),2.75,3,0,0,1.4,93.918,-42.7,no
technician,professional.course,telephone,nonexistent,mid-career(31-45y),33.233333333333334,2,0,0,1.4,94.465,-41.8,no
admin.,high.school,telephone,nonexistent,mid-career(31-45y),3.6666666666666665,3,0,0,1.1,93.994,-36.4,no
blue-collar,basic.9y,telephone,nonexistent,pre-retirement(46-64y),8.15,2,0,0,1.1,93.994,-36.4,no
blue-collar,basic.4y,telephone,nonexistent,mid-career(31-45y),0.95,1,0,0,1.1,93.994,-36.4,no
unemployed,basic.6y,cellular,nonexistent,mid-career(31-45y),3.466666666666667,1,0,0,-1.8,92.893,-46.2,no
technician,professional.course,cellular,nonexistent,mid-career(31-45y),13.266666666666667,4,0,0,1.4,93.444,-36.1,yes
technician,high.school,cellular,nonexistent,pre-retirement(46-64y),4.75,2,0,0,-0.1,93.2,-42.0,no
technician,university.degree,cellular,nonexistent,mid-career(31-45y),1.0666666666666667,1,0,0,1.4,93.444,-36.1,no
technician,university.degree,telephone,nonexistent,mid-career(31-45y),3.0833333333333335,2,0,0,1.4,93.918,-42.7,no
management,basic.9y,telephone,nonexistent,mid-career(31-45y),3.2,1,0,0,1.1,93.994,-36.4,no
admin.,high.school,cellular,failure,mid-career(31-45y),2.066666666666667,1,0,1,-0.1,93.2,-42.0,no
entrepreneur,professional.course,cellular,nonexistent,youth segment(17-30y),2.0833333333333335,1,0,0,1.4,93.918,-42.7,no
services,high.school,telephone,nonexistent,mid-career(31-45y),5.283333333333333,1,0,0,1.1,93.994,-36.4,no
management,university.degree,cellular,nonexistent,pre-retirement(46-64y),1.7666666666666666,6,0,0,1.4,93.444,-36.1,no
blue-collar,basic.4y,telephone,nonexistent,pre-retirement(46-64y),2.3,1,0,0,1.4,94.465,-41.8,no
blue-collar,basic.9y,cellular,nonexistent,mid-career(31-45y),3.5833333333333335,2,0,0,1.4,93.918,-42.7,no
management,university.degree,cellular,nonexistent,pre-retirement(46-64y),0.8333333333333334,2,0,0,1.4,93.444,-36.1,no
technician,university.degree,cellular,nonexistent,mid-career(31-45y),3.7333333333333334,1,0,0,1.4,93.444,-36.1,no
admin.,university.degree,telephone,nonexistent,mid-career(31-45y),2.2666666666666666,1,0,0,1.4,93.918,-42.7,no
self-employed,university.degree,cellular,nonexistent,youth segment(17-30y),2.8833333333333333,2,0,0,-0.1,93.2,-42.0,no
self-employed,university.degree,cellular,nonexistent,pre-retirement(46-64y),2.3333333333333335,3,0,0,1.4,93.444,-36.1,no
blue-collar,professional.course,telephone,nonexistent,pre-retirement(46-64y),4.466666666666667,1,0,0,-1.7,94.215,-40.3,yes
entrepreneur,university.degree,telephone,nonexistent,mid-career(31-45y),40.483333333333334,1,0,0,-0.1,93.798,-40.4,no
technician,professional.course,telephone,nonexistent,pre-retirement(46-64y),4.883333333333334,20,0,0,1.4,93.918,-42.7,no
admin.,high.school,cellular,nonexistent,mid-career(31-45y),0.4,28,0,0,1.4,93.918,-42.7,no
blue-collar,basic.9y,telephone,nonexistent,youth segment(17-30y),2.5166666666666666,2,0,0,1.1,93.994,-36.4,no
admin.,high.school,cellular,success,youth segment(17-30y),10.633333333333333,1,6,1,-1.8,92.893,-46.2,no
retired,basic.4y,cellular,nonexistent,retirees(65+),1.5333333333333334,1,0,0,-1.8,93.075,-47.1,no
management,basic.9y,cellular,nonexistent,mid-career(31-45y),1.4333333333333333,1,0,0,1.4,93.918,-42.7,no
blue-collar,basic.9y,telephone,nonexistent,pre-retirement(46-64y),5.316666666666666,1,0,0,1.1,93.994,-36.4,no
management,basic.9y,cellular,nonexistent,pre-retirement(46-64y),1.5,1,0,0,1.4,93.918,-42.7,no
blue-collar,basic.4y,telephone,nonexistent,pre-retirement(46-64y),5.816666666666666,2,0,0,1.4,94.465,-41.8,no
blue-collar,university.degree,telephone,nonexistent,pre-retirement(46-64y),1.7666666666666666,4,0,0,1.1,93.994,-36.4,no
student,high.school,telephone,nonexistent,youth segment(17-30y),3.1166666666666667,1,0,0,-0.1,93.798,-40.4,yes
housemaid,basic.4y,cellular,nonexistent,pre-retirement(46-64y),1.3,1,0,0,1.4,93.918,-42.7,no
admin.,high.school,cellular,nonexistent,mid-career(31-45y),9.633333333333333,1,0,0,-0.1,93.2,-42.0,no
management,university.degree,telephone,nonexistent,mid-career(31-45y),4.833333333333333,1,0,0,1.1,93.994,-36.4,no
blue-collar,professional.course,cellular,nonexistent,mid-career(31-45y),4.783333333333333,1,0,0,-3.4,92.431,-26.9,yes
blue-collar,basic.4y,telephone,nonexistent,pre-retirement(46-64y),1.1166666666666667,3,0,0,1.4,94.465,-41.8,no
unemployed,basic.4y,cellular,nonexistent,mid-career(31-45y),3.25,1,0,0,1.4,93.918,-42.7,no
management,professional.course,telephone,nonexistent,pre-retirement(46-64y),0.65,3,0,0,1.1,93.994,-36.4,no
admin.,high.school,telephone,nonexistent,mid-career(31-45y),0.25,26,0,0,1.4,94.465,-41.8,no
admin.,university.degree,cellular,nonexistent,youth segment(17-30y),2.9,1,0,0,-2.9,92.963,-40.8,yes
retired,professional.course,telephone,nonexistent,pre-retirement(46-64y),7.25,4,0,0,1.4,94.465,-41.8,no
blue-collar,basic.6y,cellular,nonexistent,mid-career(31-45y),3.65,1,0,0,-1.8,92.893,-46.2,no
retired,basic.4y,cellular,success,retirees(65+),3.8333333333333335,1,3,2,-3.4,92.379,-29.8,yes
services,professional.course,telephone,nonexistent,mid-career(31-45y),1.2666666666666666,2,0,0,1.1,93.994,-36.4,no
admin.,high.school,cellular,nonexistent,youth segment(17-30y),2.6666666666666665,4,0,0,1.4,93.918,-42.7,no
services,high.school,cellular,failure,mid-career(31-45y),7.866666666666666,1,0,1,-1.7,94.055,-39.8,no
admin.,university.degree,cellular,nonexistent,mid-career(31-45y),0.2833333333333333,5,0,0,-1.8,92.893,-46.2,no
technician,high.school,cellular,nonexistent,mid-career(31-45y),2.15,3,0,0,1.4,93.444,-36.1,no
blue-collar,basic.9y,telephone,nonexistent,youth segment(17-30y),3.25,1,0,0,1.1,93.994,-36.4,no
admin.,university.degree,cellular,nonexistent,pre-retirement(46-64y),6.183333333333334,2,0,0,1.4,93.918,-42.7,no
services,,telephone,nonexistent,youth segment(17-30y),11.033333333333333,4,0,0,1.4,93.918,-42.7,no
services,high.school,cellular,failure,mid-career(31-45y),2.1,1,0,1,-2.9,92.963,-40.8,no
blue-collar,,cellular,nonexistent,mid-career(31-45y),1.95,3,0,0,1.4,93.918,-42.7,no
unemployed,basic.4y,telephone,nonexistent,mid-career(31-45y),1.1833333333333333,4,0,0,1.1,93.994,-36.4,no
blue-collar,basic.9y,cellular,nonexistent,mid-career(31-45y),3.25,1,0,0,-1.8,92.893,-46.2,no
admin.,university.degree,cellular,nonexistent,pre-retirement(46-64y),9.4,2,0,0,1.4,93.918,-42.7,no
management,university.degree,cellular,nonexistent,youth segment(17-30y),11.533333333333333,1,0,0,-1.8,93.075,-47.1,no
services,high.school,cellular,failure,youth segment(17-30y),3.1,4,0,1,-1.8,92.893,-46.2,no
self-employed,professional.course,telephone,failure,mid-career(31-45y),0.08333333333333333,1,0,1,-1.7,94.027,-38.3,no
admin.,university.degree,telephone,nonexistent,mid-career(31-45y),4.05,1,0,0,1.1,93.994,-36.4,no
blue-collar,basic.9y,telephone,nonexistent,mid-career(31-45y),7.733333333333333,1,0,0,1.4,94.465,-41.8,no
technician,professional.course,cellular,nonexistent,mid-career(31-45y),4.633333333333334,2,0,0,-1.8,92.893,-46.2,no
services,basic.6y,telephone,nonexistent,mid-career(31-45y),3.8333333333333335,1,0,0,1.1,93.994,-36.4,no
admin.,university.degree,cellular,nonexistent,pre-retirement(46-64y),2.316666666666667,5,0,0,1.4,93.918,-42.7,no
admin.,university.degree,telephone,nonexistent,pre-retirement(46-64y),0.6166666666666667,13,0,0,1.1,93.994,-36.4,no
retired,university.degree,cellular,nonexistent,pre-retirement(46-64y),1.25,1,0,0,1.4,93.918,-42.7,no
student,,cellular,nonexistent,youth segment(17-30y),1.2,2,0,0,-3.4,92.379,-29.8,no
admin.,high.school,telephone,nonexistent,mid-career(31-45y),3.0,2,0,0,1.4,94.465,-41.8,no
housemaid,university.degree,telephone,nonexistent,mid-career(31-45y),4.45,2,0,0,1.4,94.465,-41.8,no
management,basic.6y,cellular,nonexistent,mid-career(31-45y),2.9833333333333334,1,0,0,-1.8,93.075,-47.1,no
management,high.school,cellular,nonexistent,mid-career(31-45y),11.183333333333334,1,0,0,1.4,93.444,-36.1,no
,university.degree,cellular,nonexistent,mid-career(31-45y),4.25,1,0,0,1.4,93.918,-42.7,no
management,university.degree,cellular,failure,mid-career(31-45y),4.033333333333333,2,0,1,-0.1,93.2,-42.0,no
blue-collar,basic.6y,telephone,nonexistent,pre-retirement(46-64y),4.833333333333333,5,0,0,1.1,93.994,-36.4,yes
blue-collar,professional.course,cellular,failure,youth segment(17-30y),9.55,7,0,1,-1.8,92.893,-46.2,no
self-employed,university.degree,cellular,nonexistent,mid-career(31-45y),1.7833333333333334,3,0,0,1.4,93.444,-36.1,no
admin.,university.degree,cellular,nonexistent,mid-career(31-45y),3.4166666666666665,4,0,0,1.4,93.444,-36.1,no
blue-collar,basic.4y,telephone,nonexistent,youth segment(17-30y),7.3,2,0,0,1.1,93.994,-36.4,no
admin.,university.degree,cellular,failure,pre-retirement(46-64y),13.35,5,0,1,-1.8,92.893,-46.2,yes
blue-collar,basic.4y,cellular,nonexistent,mid-career(31-45y),1.95,1,0,0,1.4,93.918,-42.7,no
admin.,high.school,cellular,nonexistent,youth segment(17-30y),0.4,2,0,0,-1.8,92.893,-46.2,no
blue-collar,basic.4y,telephone,nonexistent,youth segment(17-30y),6.7,22,0,0,1.4,94.465,-41.8,no
retired,university.degree,cellular,nonexistent,pre-retirement(46-64y),2.9,1,0,0,1.4,93.444,-36.1,no
blue-collar,basic.4y,cellular,nonexistent,mid-career(31-45y),1.4166666666666667,3,0,0,1.4,93.918,-42.7,no
admin.,high.school,cellular,nonexistent,mid-career(31-45y),0.7,3,0,0,1.4,93.918,-42.7,no
,,telephone,nonexistent,pre-retirement(46-64y),3.95,1,0,0,1.4,93.918,-42.7,no
admin.,professional.course,cellular,nonexistent,pre-retirement(46-64y),1.7666666666666666,1,0,0,1.4,93.444,-36.1,no
technician,high.school,telephone,nonexistent,mid-career(31-45y),0.2833333333333333,37,0,0,1.4,94.465,-41.8,no
blue-collar,basic.4y,cellular,nonexistent,pre-retirement(46-64y),1.55,4,0,0,1.4,93.918,-42.7,no
blue-collar,university.degree,telephone,nonexistent,youth segment(17-30y),9.3,13,0,0,1.1,93.994,-36.4,no
blue-collar,basic.6y,telephone,nonexistent,mid-career(31-45y),3.7666666666666666,1,0,0,1.1,93.994,-36.4,no
blue-collar,basic.4y,cellular,nonexistent,youth segment(17-30y),5.15,2,0,0,1.4,93.918,-42.7,no
blue-collar,basic.6y,cellular,nonexistent,youth segment(17-30y),7.9,2,0,0,1.4,93.918,-42.7,yes
student,professional.course,telephone,nonexistent,youth segment(17-30y),3.8666666666666667,2,0,0,-0.1,93.2,-42.0,no
admin.,university.degree,telephone,success,pre-retirement(46-64y),13.733333333333333,1,6,2,-3.0,92.713,-33.0,yes
blue-collar,basic.4y,cellular,nonexistent,youth segment(17-30y),0.7,3,0,0,-1.8,93.075,-47.1,no
blue-collar,basic.4y,telephone,nonexistent,pre-retirement(46-64y),4.1,3,0,0,1.1,93.994,-36.4,no
admin.,,cellular,nonexistent,mid-career(31-45y),0.9,4,0,0,1.4,93.444,-36.1,no
admin.,university.degree,cellular,nonexistent,pre-retirement(46-64y),1.55,1,0,0,1.4,93.444,-36.1,no
blue-collar,high.school,cellular,success,mid-career(31-45y),0.65,1,10,1,-1.8,92.893,-46.2,no
technician,high.school,cellular,nonexistent,mid-career(31-45y),10.05,1,0,0,1.4,93.444,-36.1,no
technician,professional.course,telephone,nonexistent,mid-career(31-45y),1.5,1,0,0,1.1,93.994,-36.4,no
